mean,0.0037596026676848665
u_quadlimbdark__,[-0.55918576 -0.38484029]
sigma_log__,-1.2158815621595491
log_sigma_gp,2.498304699996959
log_rho_gp,3.4266889934052185
log_ror,[-3.91218537 -4.03636975]
log_period,[1.70913501 2.17192372]
t0,[135.62368838 133.70277064]
log_dur,[-2.14999272 -2.02481557]
b_impact__,[-0.09371952 -0.05466612]
u,[0.48846697 0.11463822]
sigma,0.2964485612335791
ror,[0.01999675 0.01766147]
period,[5.52418104 8.77514871]
dur,[0.11648501 0.13201819]
b,[0.48611745 0.4949263 ]
rho_circ,[1.54379299 1.63938288]
