mean,-0.004793075026703854
u_quadlimbdark__,[ 0.21068431 -0.19176868]
sigma_log__,-2.468534631664595
log_sigma_gp,-1.052899766713022
log_rho_gp,1.038275065645356
log_ror,[-4.69255886 -4.74064081]
log_period,[0.4774086  1.12218417]
t0,[133.56919029 133.30149283]
log_dur,[-2.02671531 -1.76510373]
b_impact__,[-0.17146945 -0.29421528]
u,[0.67223597 0.07105207]
sigma,0.08470889783469376
ror,[0.00916321 0.00873305]
period,[1.61189192 3.07155569]
dur,[0.13176763 0.17116903]
b,[0.46142712 0.43070098]
rho_circ,[0.32942911 0.29089789]
